Reeks;Wedstrijdnr;Datum;Uur;Thuis;Bezoekers;Sporthall;Uitslag;Setstanden;Uitslag reserven;Setstanden reserven;Uitgesteld
Nationale 3 Heren A;NAT3H-A-0005;13/09/2025;20:00;Sferos VBK Deinze A;Promo V.T. Mouscron A;Deinze, Sporthal Palaestra;;;;;
Nationale 3 Heren A;NAT3H-A-0012;20/09/2025;20:30;Knack Roeselare C;Sferos VBK Deinze A;Roeselare, Schiervelde;;;;;
Nationale 3 Heren A;NAT3H-A-0079;27/09/2025;20:30;VC Kalken A;Sferos VBK Deinze A;Laarne, Sporthal Veldmeers;;;;;
Nationale 3 Heren A;NAT3H-A-0105;04/10/2025;20:00;Sferos VBK Deinze A;Rembert Torhout Heren C;Deinze, Sporthal Palaestra;;;;;
Nationale 3 Heren A;NAT3H-A-0034;11/10/2025;20:00;Sferos VBK Deinze A;Forza Evo Volley Oudenaarde A;Deinze, Sporthal Palaestra;;;;;
Nationale 3 Heren A;NAT3H-A-0029;18/10/2025;20:30;Olva Brugge A;Sferos VBK Deinze A;Assebroek, Sport Vlaanderen Brugge;;;;;
Nationale 3 Heren A;NAT3H-A-0039;08/11/2025;18:15;Rembert Torhout Heren C;Sferos VBK Deinze A;Torhout, Stedelijke Sporthal;;;;;
Nationale 3 Heren A;NAT3H-A-0020;15/11/2025;20:30;Roepovo Poperinge A;Sferos VBK Deinze A;Poperinge, Stedelijke Sporthal;;;;;
Nationale 3 Heren A;NAT3H-A-0045;22/11/2025;20:00;Sferos VBK Deinze A;Balti Kortrijk Spurs A;Deinze, Sporthal Palaestra;;;;;
Nationale 3 Heren A;NAT3H-A-0051;29/11/2025;20:30;VC Felco Gavere A;Sferos VBK Deinze A;Gavere, Sporthal Scaldis;;;;;
Nationale 3 Heren A;NAT3H-A-0059;06/12/2025;20:00;Sferos VBK Deinze A;Volley Team Peruwelz A;Deinze, Sporthal Palaestra;;;;;
